parcel_id,atlas,version,geometry_source,raw_sha256,transform_sha256,derived_sha256,native_space,current_space,discrete,probabilistic,grid_ready,provenance_complete,voxel_count,hemisphere
24,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,7330,right
25,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,5281,left
26,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,5041,right
27,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,7388,left
28,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,9023,right
29,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,2710,left
30,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,2841,right
31,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,3354,left
32,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,3221,right
33,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,2615,left
