canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,spatial_asset_file,spatial_evidence_status,pp_top1_g3,pp_top1_name,pp_top1_g4_weighted,pp_top1_joint_mass,hard_top1_g3,hard_top1_coverage,hard_top2_coverage,hard_top1_top2_margin,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,scientific_decision,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,review_status
NGIQ-BR-00000351,CM.Ce (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.31456286,172.82613108,NGIQ-BR-00000215,0.22233381,0.17669132,0.04564249,0.76570915,0.23429085,5.4924,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000352,CM.Me (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.31456286,172.82613108,NGIQ-BR-00000215,0.22233381,0.17669132,0.04564249,0.76570915,0.23429085,5.4924,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000353,LB.Bl (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.419448,309.58819561,NGIQ-BR-00000218,0.40810337,0.32291789,0.08518548,0.8813188,0.1186812,3.0523,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000354,LB.Bm (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.419448,309.58819561,NGIQ-BR-00000218,0.40810337,0.32291789,0.08518548,0.8813188,0.1186812,3.0523,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000355,LB.Pl (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.419448,309.58819561,NGIQ-BR-00000218,0.40810337,0.32291789,0.08518548,0.8813188,0.1186812,3.0523,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000356,LB.La (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.419448,309.58819561,NGIQ-BR-00000218,0.40810337,0.32291789,0.08518548,0.8813188,0.1186812,3.0523,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000357,LB.Bl (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.47080758,340.58621151,NGIQ-BR-00000017,0.32168084,0.30202864,0.0196522,0.92483303,0.07516697,3.4628,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000358,LB.Bm (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.47080758,340.58621151,NGIQ-BR-00000017,0.32168084,0.30202864,0.0196522,0.92483303,0.07516697,3.4628,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000359,LB.Pl (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.47080758,340.58621151,NGIQ-BR-00000017,0.32168084,0.30202864,0.0196522,0.92483303,0.07516697,3.4628,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000360,LB.La (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.47080758,340.58621151,NGIQ-BR-00000017,0.32168084,0.30202864,0.0196522,0.92483303,0.07516697,3.4628,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
