canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,spatial_asset_file,scientific_decision,decision_reason_code,semantic_compatibility_status,owner_review_status,future_rollup_eligible,future_primary_rollup,review_note,policy_version,evidence_reference_2ia,evidence_reference_2ib
NGIQ-BR-00000331,VP (Ventral Pallidum) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP_VENTRAL_PALLIDUM_RIGHT.nii.gz,CONFLICT_REVIEW,LOW_DOMINANCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000332,VP (Ventral Pallidum) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VP_VENTRAL_PALLIDUM,VP_VENTRAL_PALLIDUM_LEFT.nii.gz,CONFLICT_REVIEW,HIGH_FRAGMENTATION,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000339,"FuP (Ventral Striatum, Fundus of Putamen) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_RIGHT.nii.gz,CONFLICT_REVIEW,PARTIAL_TARGET_EVIDENCE_INCONSISTENT,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000340,"FuP (Ventral Striatum, Fundus of Putamen) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_LEFT.nii.gz,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000341,Ch 4 (Basal Forebrain) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN,CH_4_BASAL_FOREBRAIN_RIGHT.nii.gz,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000342,Ch 4 (Basal Forebrain) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN,CH_4_BASAL_FOREBRAIN_LEFT.nii.gz,CONFLICT_REVIEW,HIGH_FRAGMENTATION,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000343,"BST (Basal Forebrain, Bed Nucleus) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS,BST_BASAL_FOREBRAIN_BED_NUCLEUS_RIGHT.nii.gz,CONFLICT_REVIEW,HIGH_FRAGMENTATION,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000344,"BST (Basal Forebrain, Bed Nucleus) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS,BST_BASAL_FOREBRAIN_BED_NUCLEUS_LEFT.nii.gz,CONFLICT_REVIEW,HIGH_FRAGMENTATION,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000345,Ch 123 (Basal Forebrain) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN,CH_123_BASAL_FOREBRAIN_RIGHT.nii.gz,CONFLICT_REVIEW,LOW_DOMINANCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000346,Ch 123 (Basal Forebrain) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN,CH_123_BASAL_FOREBRAIN_LEFT.nii.gz,CONFLICT_REVIEW,DIFFUSE_ASSOCIATION,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000347,CM.AAA (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000348,CM.Ce (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000349,CM.Me (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000350,CM.AAA (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000351,CM.Ce (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000352,CM.Me (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000353,LB.Bl (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000354,LB.Bm (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000355,LB.Pl (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000356,LB.La (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000357,LB.Bl (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000358,LB.Bm (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000359,LB.Pl (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000360,LB.La (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000361,SF.AHi (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000362,SF.APir (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000363,SF.VCo (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000364,SF.AHi (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000365,SF.APir (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
NGIQ-BR-00000366,SF.VCo (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,N/A,OWNER_SCIENTIFIC_REVIEWED,False,False,,G4_G3_FINAL_SCIENTIFIC_POLICY_V1,g4_g3_scientific_decision_policy_v1.csv,g4_g3_owner_policy_revision_v1.csv
